source,state,Cost,Error,Entropy,source=3 state=8
2,1,0,0,2.17694048388
0,3,1,1,2.17694048388
1,5,0,0,2.17694048388
2,1,0,0,2.17694048388
0,4,1,1,2.17694048388
1,5,0,0,2.17694048388
2,3,2,1,2.17694048388
0,3,1,1,2.17694048388
1,4,1,1,2.17694048388
2,3,0,0,2.17694048388
0,3,0,0,2.17694048388
1,3,1,1,2.17694048388
2,4,1,1,2.17694048388
0,1,2,1,2.17694048388
1,3,0,0,2.17694048388
2,5,1,1,2.17694048388
0,2,1,1,2.17694048388
1,3,0,0,2.17694048388
2,7,2,1,2.17694048388
0,0,2,1,2.17694048388
1,3,0,0,2.17694048388
2,6,1,1,2.17694048388
0,5,3,1,2.17694048388
1,1,2,1,2.17694048388
2,6,0,0,2.17694048388
0,6,1,1,2.17694048388
1,1,0,0,2.17694048388
2,6,0,0,2.17694048388
0,5,1,1,2.17694048388
1,0,1,1,2.17694048388
2,6,0,0,2.17694048388
0,4,1,1,2.17694048388
1,0,0,0,2.17694048388
2,7,1,1,2.17694048388
0,5,1,1,2.17694048388
1,7,1,1,2.17694048388
2,7,0,0,2.17694048388
0,3,2,1,2.17694048388
1,7,0,0,2.17694048388
2,7,0,0,2.17694048388
0,3,0,0,2.17694048388
1,0,1,1,2.17694048388
2,0,1,1,2.17694048388
0,1,2,1,2.17694048388
1,7,1,1,2.17694048388
2,2,2,1,2.17694048388
0,1,0,0,2.17694048388
1,5,2,1,2.17694048388
2,4,2,1,2.17694048388
0,0,1,1,2.17694048388
1,5,0,0,2.17694048388
2,2,2,1,2.17694048388
0,2,2,1,2.17694048388
1,4,1,1,2.17694048388
2,2,0,0,2.17694048388
0,1,1,1,2.17694048388
1,3,1,1,2.17694048388
2,4,2,1,2.17694048388
0,0,1,1,2.17694048388
1,2,1,1,2.17694048388
2,4,0,0,2.17694048388
0,7,1,1,2.17694048388
1,1,1,1,2.17694048388
2,5,1,1,2.17694048388
0,1,2,1,2.17694048388
1,1,0,0,2.17694048388
2,4,1,1,2.17694048388
0,0,1,1,2.17694048388
1,0,1,1,2.17694048388
2,5,1,1,2.17694048388
0,6,2,1,2.17694048388
1,0,0,0,2.17694048388
2,4,1,1,2.17694048388
0,6,0,0,2.17694048388
1,2,2,1,2.17694048388
2,4,0,0,2.17694048388
0,6,0,0,2.17694048388
1,3,1,1,2.17694048388
2,3,1,1,2.17694048388
0,5,1,1,2.17694048388
1,3,0,0,2.17694048388
2,5,2,1,2.17694048388
0,6,1,1,2.17694048388
1,4,1,1,2.17694048388
2,5,0,0,2.17694048388
0,5,1,1,2.17694048388
1,4,0,0,2.17694048388
2,7,2,1,2.17694048388
0,5,0,0,2.17694048388
1,4,0,0,2.17694048388
2,7,0,0,2.17694048388
0,6,1,1,2.17694048388
1,3,1,1,2.17694048388
2,6,1,1,2.17694048388
0,6,0,0,2.17694048388
1,5,2,1,2.17694048388
2,5,1,1,2.17694048388
0,5,1,1,2.17694048388
1,6,1,1,2.17694048388
2,6,1,1,2.17694048388
0,5,0,0,2.17694048388
1,6,0,0,2.17694048388
2,5,1,1,2.17694048388
0,3,2,1,2.17694048388
1,6,0,0,2.17694048388
2,4,1,1,2.17694048388
0,2,1,1,2.17694048388
1,4,2,1,2.17694048388
2,5,1,1,2.17694048388
0,3,1,1,2.17694048388
1,4,0,0,2.17694048388
2,5,0,0,2.17694048388
0,4,1,1,2.17694048388
1,4,0,0,2.17694048388
2,5,0,0,2.17694048388
0,4,0,0,2.17694048388
1,2,2,1,2.17694048388
2,4,1,1,2.17694048388
0,3,1,1,2.17694048388
1,1,1,1,2.17694048388
2,3,1,1,2.17694048388
0,4,1,1,2.17694048388
1,1,0,0,2.17694048388
2,4,1,1,2.17694048388
0,3,1,1,2.17694048388
1,2,1,1,2.17694048388
2,6,2,1,2.17694048388
0,2,1,1,2.17694048388
1,3,1,1,2.17694048388
2,6,0,0,2.17694048388
0,3,1,1,2.17694048388
1,3,0,0,2.17694048388
2,6,0,0,2.17694048388
0,1,2,1,2.17694048388
1,4,1,1,2.17694048388
2,6,0,0,2.17694048388
0,0,1,1,2.17694048388
1,5,1,1,2.17694048388
ERROR RATE: 0.641
